,1472783512,1472783568,4-4,4-4,2-2,1-1,1-1,4-4,4-4,4-4,3-3,2-2,3-3,2-2,4-4,2-2,1-1,1-1,4-4,1-1,2-2,3-3,4-4,4-4,3-3,2-2,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783572,1472783634,4-4,1-1,1-1,2-2,2-2,1-1,4-4,2-2,2-2,1-1,3-3,1-1,4-1,2-2,1-1,3-3,3-3,1-3,2-2,4-4,1-1,1-1,4-4,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783638,1472783689,1-1,1-1,3-3,3-3,2-2,4-4,1-1,4-4,3-3,2-2,4-4,3-1,2-1,2-2,4-4,2-2,1-1,2-2,4-4,2-2,4-4,1-1,4-4,3-3,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783694,1472783764,4-4,3-3,4-4,3-3,1-1,2-2,3-3,4-1,4-4,1-1,2-2,1-1,2-2,4-4,2-2,3-3,2-2,4-4,1-1,2-2,1-1,4-4,4-4,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783776,1472783850,1-1,2-2,1-1,3-3,2-2,1-2,1-1,4-4,2-2,2-2,2-2,1-1,3-3,3-3,4-4,4-4,4-4,1-1,1-1,4-4,4-4,2-2,3-3,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783855,1472783948,4-4,1-1,4-4,2-2,2-2,2-2,2-2,4-4,3-3,4-4,3-3,2-2,2-2,1-1,3-3,1-1,2-2,4-4,3-3,3-3,4-4,1-1,3-3,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472783952,1472784027,4-4,3-3,1-1,2-2,4-4,4-4,2-2,1-1,2-2,3-3,3-3,3-3,1-1,2-2,4-4,3-3,2-2,2-2,2-2,3-3,2-2,1-1,3-3,1-1,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472784074,1472784231,2-2,3-3,4-4,1-1,3-3,2-2,2-2,2-2,3-3,2-2,3-3,4-4,2-2,1-1,2-2,1-4,4-4,2-2,2-2,3-3,2-2,4-4,2-2,3-3,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472961314,1472961342,3-3,1-1,3-3,3-3,2-2,2-2,1-1,2-2,2-2,3-3,2-2,1-1,3-3,1-1,2-2,4-4,1-1,4-4,4-4,3-3,4-1,3-3,3-3,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472965536,1472965593,3-3,3-3,2-2,1-1,1-1,4-4,1-1,4-4,3-3,1-1,4-4,4-4,3-3,1-1,4-4,2-2,2-2,2-2,3-3,1-3,1-4,4-4,1-1,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
control,1472971368,1472971400,1-1,4-4,2-2,4-4,1-1,2-2,4-4,1-1,4-4,1-1,1-1,3-3,2-2,3-3,4-4,3-1,2-2,4-4,1-4,4-4,1-1,1-1,4-4,1-1,22-20-17-13-19-16-9-2-18-14-4-23-15-10-5-21-24-12-8-1-11-3-6-7
,1472971405,1472971441,1-1,1-1,2-1,1-1,2-2,2-2,1-1,4-4,3-3,1-1,4-4,4-4,3-3,4-4,2-2,4-4,4-4,3-3,4-4,4-4,2-2,4-4,2-2,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472971444,1472971475,4-4,2-2,1-1,2-2,1-1,3-3,2-2,4-4,1-1,3-3,2-2,3-3,1-2,4-4,1-1,4-4,2-3,2-2,4-4,1-4,1-1,1-1,4-4,2-2,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
,1472971479,1472971510,2-2,2-4,3-3,4-4,1-4,1-3,1-1,2-2,4-4,4-4,2-2,2-2,2-2,3-3,1-1,2-2,4-4,4-4,4-4,1-1,1-3,2-2,2-2,4-4,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
control,1472971836,1472971864,3-3,4-4,1-1,1-1,4-4,3-3,4-4,3-3,2-2,4-4,4-4,4-4,1-1,1-1,1-2,1-1,4-4,1-1,2-2,2-2,1-1,3-3,4-4,1-1,10-5-11-24-19-16-7-14-18-17-4-23-1-13-21-8-15-6-20-3-2-12-22-9
control,1472971873,1472971905,3-3,2-2,4-4,4-4,3-3,3-3,3-3,4-4,4-4,2-2,1-1,1-1,2-2,4-4,2-2,4-2,2-2,3-3,2-2,4-4,4-3,3-3,2-2,1-1,19-14-18-4-7-16-23-3-24-9-13-17-6-11-8-21-22-5-2-1-20-10-12-15
,1472971908,1472971938,2-2,1-1,2-2,1-3,1-1,1-2,2-2,3-3,2-2,3-3,2-2,2-2,4-4,3-3,3-3,3-3,1-1,2-2,4-4,4-4,1-4,1-1,1-1,2-2,1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24
